batter_a,year,strikeout_mean.1.00,strikeout_mean.2.00,strikeout_mean.3.00,strikeout_mean.4.00,strikeout_mean.5.00,strikeout_mean.6.00,strikeout_mean.7.00,strikeout_mean.8.00,walk_mean.1.00,walk_mean.2.00,walk_mean.3.00,walk_mean.4.00,walk_mean.5.00,walk_mean.6.00,walk_mean.7.00,walk_mean.8.00
reynm001,"2,012.00",0.38,0.23,0.27,0.32,0.35,0.25,0.22,0.33,0.13,0.18,0.15,0.08,0.08,0.13,0.20,0.12
reynm001,"2,013.00",0.22,0.23,0.32,0.32,0.42,0.37,0.30,0.30,0.10,0.12,0.12,0.07,0.13,0.08,0.13,0.07
riosa002,"2,012.00",0.10,0.10,0.13,0.13,0.15,0.13,0.08,0.18,0.07,0.02,0.07,0.02,0.02,0.05,0.03,0.00
riosa002,"2,013.00",0.13,0.15,0.17,0.15,0.18,0.17,0.17,0.17,0.08,0.12,0.05,0.05,0.05,0.05,0.05,0.03
riosa002,"2,014.00",0.12,0.15,0.23,0.10,0.20,0.23,0.18,0.18,0.05,0.03,0.05,0.00,0.07,0.03,0.03,0.02
rizza001,"2,013.00",0.27,0.20,0.10,0.18,0.12,0.15,0.22,0.20,0.12,0.07,0.05,0.05,0.17,0.07,0.12,0.18
rizza001,"2,014.00",0.13,0.17,0.13,0.22,0.25,0.12,0.23,0.13,0.07,0.23,0.12,0.15,0.10,0.05,0.05,0.07
rizza001,"2,015.00",0.12,0.12,0.05,0.13,0.18,0.10,0.15,0.15,0.12,0.12,0.08,0.12,0.07,0.10,0.13,0.03
rizza001,"2,016.00",0.17,0.08,0.12,0.10,0.18,0.20,0.25,0.18,0.12,0.17,0.08,0.13,0.08,0.08,0.05,0.13
rober002,"2,012.00",0.20,0.12,0.20,0.12,0.18,0.20,0.25,0.20,0.10,0.08,0.05,0.02,0.15,0.12,0.05,0.08
rodra001,"2,012.00",0.13,0.20,0.20,0.27,0.20,0.28,0.13,0.30,0.10,0.15,0.08,0.05,0.12,0.08,0.02,0.07
rodra001,"2,015.00",0.27,0.17,0.23,0.13,0.18,0.23,0.22,0.20,0.17,0.08,0.07,0.15,0.12,0.15,0.10,0.17
rollj001,"2,012.00",0.20,0.15,0.10,0.13,0.10,0.13,0.18,0.07,0.03,0.07,0.12,0.03,0.05,0.12,0.07,0.10
rollj001,"2,013.00",0.18,0.17,0.13,0.12,0.12,0.07,0.12,0.20,0.07,0.07,0.03,0.10,0.12,0.10,0.00,0.05
rollj001,"2,014.00",0.13,0.13,0.22,0.12,0.20,0.13,0.07,0.12,0.10,0.08,0.17,0.15,0.07,0.05,0.08,0.07
rollj001,"2,015.00",0.20,0.18,0.10,0.15,0.15,0.08,0.10,0.20,0.12,0.08,0.08,0.03,0.02,0.08,0.08,0.03
rosae001,"2,015.00",0.28,0.22,0.18,0.23,0.27,0.28,0.27,0.20,0.03,0.05,0.03,0.02,0.02,0.02,0.02,0.02
rosaw001,"2,013.00",0.25,0.17,0.20,0.27,0.20,0.35,0.13,0.25,0.03,0.05,0.03,0.07,0.05,0.02,0.00,0.00
rossc001,"2,012.00",0.32,0.27,0.13,0.25,0.22,0.18,0.23,0.27,0.08,0.07,0.10,0.13,0.05,0.05,0.07,0.07
ruggj001,"2,013.00",0.17,0.33,0.23,0.23,0.20,0.22,0.27,0.22,0.07,0.10,0.10,0.03,0.10,0.12,0.05,0.08
russa002,"2,015.00",0.43,0.30,0.22,0.30,0.25,0.15,0.28,0.40,0.03,0.10,0.08,0.08,0.13,0.02,0.03,0.07
russa002,"2,016.00",0.20,0.18,0.30,0.35,0.22,0.17,0.23,0.18,0.10,0.15,0.03,0.07,0.13,0.05,0.07,0.10
ryanb002,"2,012.00",0.18,0.27,0.22,0.20,0.17,0.17,0.18,0.25,0.15,0.12,0.07,0.12,0.08,0.08,0.05,0.05
sandp001,"2,013.00",0.05,0.13,0.10,0.15,0.22,0.18,0.13,0.08,0.07,0.00,0.08,0.03,0.03,0.10,0.08,0.10
sandp001,"2,014.00",0.18,0.25,0.12,0.10,0.12,0.15,0.08,0.08,0.13,0.03,0.00,0.02,0.07,0.08,0.02,0.05
sandp001,"2,015.00",0.22,0.12,0.13,0.08,0.10,0.13,0.18,0.18,0.07,0.10,0.02,0.02,0.02,0.05,0.08,0.03
sanom001,"2,016.00",0.32,0.33,0.35,0.30,0.32,0.38,0.33,0.42,0.13,0.17,0.08,0.17,0.07,0.08,0.03,0.12
santc002,"2,012.00",0.20,0.23,0.17,0.17,0.23,0.13,0.10,0.12,0.18,0.12,0.15,0.13,0.12,0.23,0.13,0.07
santc002,"2,013.00",0.17,0.20,0.18,0.20,0.17,0.15,0.17,0.17,0.13,0.15,0.18,0.07,0.13,0.10,0.12,0.05
santc002,"2,014.00",0.12,0.25,0.20,0.20,0.25,0.27,0.15,0.12,0.22,0.13,0.20,0.22,0.12,0.12,0.17,0.13
santc002,"2,015.00",0.18,0.08,0.20,0.08,0.22,0.22,0.17,0.20,0.13,0.25,0.15,0.18,0.10,0.10,0.13,0.12
santc002,"2,016.00",0.13,0.10,0.13,0.05,0.22,0.13,0.22,0.17,0.12,0.15,0.18,0.10,0.10,0.08,0.12,0.15
saunm001,"2,012.00",0.22,0.33,0.25,0.15,0.20,0.20,0.30,0.20,0.08,0.13,0.08,0.07,0.03,0.07,0.03,0.03
saunm001,"2,016.00",0.22,0.35,0.20,0.28,0.25,0.28,0.35,0.23,0.10,0.12,0.07,0.10,0.07,0.12,0.15,0.10
schin001,"2,013.00",0.10,0.17,0.13,0.18,0.15,0.28,0.30,0.18,0.05,0.03,0.00,0.13,0.07,0.07,0.00,0.08
schoj001,"2,014.00",0.28,0.25,0.13,0.18,0.22,0.33,0.25,0.33,0.00,0.05,0.02,0.05,0.00,0.05,0.02,0.03
schoj001,"2,016.00",0.18,0.27,0.22,0.22,0.17,0.13,0.20,0.23,0.05,0.02,0.02,0.07,0.03,0.03,0.00,0.05
scutm001,"2,012.00",0.02,0.10,0.05,0.08,0.12,0.13,0.08,0.03,0.07,0.03,0.10,0.07,0.03,0.05,0.07,0.10
scutm001,"2,013.00",0.10,0.07,0.02,0.05,0.08,0.05,0.03,0.12,0.05,0.07,0.07,0.12,0.07,0.05,0.15,0.02
seagc001,"2,016.00",0.13,0.15,0.17,0.23,0.18,0.15,0.30,0.18,0.02,0.15,0.03,0.07,0.12,0.05,0.07,0.05
seagk001,"2,012.00",0.12,0.15,0.17,0.20,0.25,0.13,0.18,0.18,0.02,0.03,0.13,0.12,0.08,0.10,0.08,0.05
seagk001,"2,013.00",0.15,0.20,0.20,0.13,0.15,0.18,0.07,0.13,0.08,0.10,0.10,0.07,0.08,0.03,0.12,0.07
seagk001,"2,014.00",0.18,0.23,0.20,0.18,0.17,0.15,0.18,0.17,0.13,0.07,0.08,0.03,0.08,0.07,0.05,0.07
seagk001,"2,015.00",0.10,0.13,0.10,0.23,0.12,0.12,0.08,0.15,0.08,0.03,0.03,0.08,0.07,0.08,0.05,0.07
seagk001,"2,016.00",0.20,0.12,0.10,0.10,0.18,0.17,0.23,0.13,0.10,0.07,0.10,0.05,0.10,0.08,0.03,0.08
seguj002,"2,013.00",0.13,0.13,0.12,0.10,0.03,0.18,0.13,0.17,0.03,0.08,0.03,0.02,0.02,0.02,0.07,0.03
seguj002,"2,014.00",0.13,0.15,0.12,0.08,0.13,0.13,0.13,0.07,0.02,0.00,0.05,0.05,0.00,0.05,0.02,0.08
seguj002,"2,015.00",0.10,0.15,0.17,0.17,0.10,0.20,0.13,0.20,0.03,0.02,0.02,0.00,0.05,0.00,0.02,0.00
seguj002,"2,016.00",0.08,0.17,0.13,0.10,0.22,0.07,0.20,0.17,0.03,0.02,0.02,0.03,0.07,0.17,0.00,0.08
semim001,"2,015.00",0.20,0.17,0.25,0.13,0.25,0.23,0.23,0.20,0.08,0.03,0.07,0.03,0.12,0.02,0.03,0.08
semim001,"2,016.00",0.22,0.25,0.23,0.22,0.15,0.32,0.22,0.22,0.12,0.10,0.08,0.05,0.07,0.10,0.07,0.05
shawt001,"2,016.00",0.23,0.25,0.17,0.30,0.18,0.23,0.28,0.30,0.08,0.07,0.08,0.05,0.08,0.05,0.05,0.12
shucj001,"2,013.00",0.12,0.07,0.03,0.13,0.13,0.12,0.15,0.13,0.07,0.05,0.10,0.02,0.07,0.05,0.00,0.10
simma001,"2,013.00",0.10,0.10,0.12,0.03,0.12,0.07,0.03,0.03,0.10,0.05,0.02,0.05,0.05,0.02,0.07,0.05
simma001,"2,014.00",0.02,0.10,0.17,0.10,0.10,0.05,0.08,0.12,0.02,0.05,0.00,0.08,0.07,0.05,0.10,0.05
simma001,"2,015.00",0.05,0.03,0.15,0.07,0.00,0.13,0.05,0.08,0.05,0.10,0.02,0.07,0.03,0.05,0.10,0.10
simma001,"2,016.00",0.07,0.03,0.10,0.10,0.12,0.08,0.08,0.05,0.02,0.07,0.03,0.05,0.05,0.05,0.10,0.07
smits002,"2,014.00",0.15,0.18,0.12,0.15,0.20,0.15,0.12,0.13,0.10,0.13,0.13,0.15,0.10,0.10,0.13,0.15
smoaj001,"2,012.00",0.27,0.20,0.22,0.22,0.13,0.22,0.28,0.18,0.05,0.08,0.02,0.13,0.10,0.08,0.10,0.08
smoaj001,"2,013.00",0.18,0.22,0.28,0.23,0.23,0.22,0.27,0.15,0.12,0.15,0.15,0.10,0.10,0.12,0.10,0.10
solay001,"2,014.00",0.13,0.10,0.08,0.10,0.17,0.13,0.07,0.10,0.10,0.13,0.10,0.05,0.13,0.08,0.10,0.10
solay001,"2,015.00",0.07,0.17,0.10,0.10,0.10,0.12,0.10,0.03,0.10,0.03,0.07,0.05,0.08,0.05,0.10,0.00
soria001,"2,012.00",0.22,0.18,0.20,0.22,0.20,0.27,0.35,0.25,0.02,0.05,0.05,0.05,0.07,0.05,0.03,0.12
soria001,"2,013.00",0.22,0.13,0.30,0.18,0.28,0.22,0.23,0.30,0.03,0.03,0.00,0.05,0.00,0.05,0.05,0.05
souzs001,"2,016.00",0.33,0.42,0.30,0.33,0.33,0.30,0.38,0.25,0.07,0.07,0.10,0.05,0.03,0.05,0.05,0.10
spand001,"2,012.00",0.12,0.20,0.02,0.15,0.07,0.13,0.10,0.10,0.05,0.08,0.13,0.08,0.10,0.07,0.12,0.07
spand001,"2,013.00",0.08,0.18,0.15,0.12,0.12,0.12,0.05,0.12,0.15,0.03,0.08,0.00,0.08,0.05,0.10,0.02
spand001,"2,014.00",0.13,0.10,0.10,0.02,0.10,0.13,0.12,0.07,0.10,0.03,0.07,0.05,0.07,0.08,0.10,0.15
spand001,"2,016.00",0.07,0.07,0.12,0.08,0.18,0.25,0.10,0.08,0.05,0.18,0.10,0.08,0.07,0.07,0.07,0.05
sprig001,"2,016.00",0.25,0.22,0.22,0.22,0.18,0.20,0.17,0.20,0.07,0.05,0.23,0.07,0.07,0.12,0.15,0.12
stanm004,"2,012.00",0.22,0.28,0.23,0.17,0.33,0.27,0.33,0.43,0.05,0.08,0.10,0.15,0.05,0.07,0.02,0.05
stanm004,"2,013.00",0.33,0.13,0.25,0.32,0.20,0.28,0.27,0.33,0.13,0.08,0.12,0.18,0.22,0.07,0.17,0.12
stanm004,"2,014.00",0.25,0.32,0.17,0.20,0.25,0.28,0.25,0.32,0.07,0.03,0.13,0.13,0.08,0.07,0.13,0.13
stanm004,"2,016.00",0.33,0.22,0.45,0.35,0.25,0.30,0.20,0.17,0.12,0.17,0.08,0.08,0.08,0.10,0.03,0.08
stubd001,"2,012.00",0.25,0.30,0.27,0.25,0.27,0.27,0.28,0.42,0.03,0.07,0.10,0.17,0.07,0.10,0.07,0.02
stubd001,"2,013.00",0.33,0.23,0.33,0.32,0.25,0.22,0.28,0.32,0.12,0.02,0.08,0.05,0.07,0.12,0.07,0.13
suare001,"2,016.00",0.15,0.18,0.38,0.37,0.30,0.17,0.22,0.22,0.07,0.07,0.05,0.05,0.13,0.07,0.07,0.05
suzui001,"2,012.00",0.05,0.08,0.05,0.10,0.07,0.12,0.15,0.05,0.05,0.02,0.08,0.00,0.00,0.03,0.03,0.00
suzui001,"2,013.00",0.12,0.08,0.13,0.08,0.08,0.13,0.03,0.10,0.05,0.03,0.02,0.07,0.05,0.03,0.00,0.03
suzuk001,"2,014.00",0.07,0.07,0.08,0.08,0.10,0.08,0.10,0.10,0.13,0.08,0.03,0.05,0.05,0.13,0.03,0.02
suzuk001,"2,015.00",0.13,0.08,0.10,0.12,0.10,0.08,0.13,0.17,0.08,0.07,0.03,0.02,0.05,0.07,0.05,0.05
swisn001,"2,012.00",0.18,0.20,0.27,0.18,0.22,0.30,0.25,0.15,0.10,0.05,0.05,0.10,0.10,0.23,0.10,0.13
swisn001,"2,013.00",0.17,0.17,0.25,0.20,0.27,0.13,0.28,0.20,0.15,0.08,0.10,0.10,0.12,0.18,0.05,0.08
taylm002,"2,015.00",0.35,0.43,0.18,0.25,0.35,0.28,0.32,0.28,0.03,0.07,0.05,0.05,0.00,0.05,0.07,0.07
teixm001,"2,012.00",0.10,0.13,0.13,0.12,0.15,0.22,0.17,0.18,0.08,0.03,0.12,0.12,0.15,0.12,0.08,0.07
teixm001,"2,014.00",0.23,0.17,0.22,0.13,0.17,0.15,0.22,0.32,0.15,0.08,0.15,0.08,0.05,0.13,0.10,0.08
tejar001,"2,012.00",0.15,0.25,0.08,0.17,0.12,0.15,0.15,0.08,0.12,0.02,0.03,0.05,0.07,0.03,0.05,0.07
tomay001,"2,016.00",0.18,0.23,0.17,0.35,0.28,0.25,0.18,0.22,0.08,0.07,0.07,0.03,0.02,0.02,0.03,0.08
troum001,"2,012.00",0.25,0.22,0.10,0.17,0.22,0.20,0.28,0.13,0.10,0.08,0.05,0.10,0.07,0.10,0.08,0.12
troum001,"2,013.00",0.22,0.17,0.12,0.25,0.17,0.10,0.10,0.20,0.07,0.12,0.08,0.15,0.07,0.15,0.05,0.10
troum001,"2,014.00",0.20,0.33,0.28,0.18,0.15,0.23,0.20,0.32,0.07,0.12,0.13,0.17,0.12,0.20,0.07,0.08
troum001,"2,015.00",0.20,0.25,0.18,0.20,0.23,0.28,0.22,0.25,0.08,0.13,0.05,0.05,0.05,0.15,0.08,0.12
troum001,"2,016.00",0.25,0.20,0.17,0.18,0.12,0.13,0.17,0.20,0.13,0.07,0.13,0.17,0.15,0.08,0.17,0.20
trumm001,"2,012.00",0.27,0.15,0.22,0.27,0.12,0.20,0.27,0.35,0.08,0.08,0.03,0.08,0.00,0.07,0.07,0.02
trumm001,"2,013.00",0.18,0.30,0.28,0.25,0.13,0.23,0.30,0.32,0.05,0.08,0.10,0.08,0.17,0.03,0.02,0.07
trumm001,"2,015.00",0.20,0.13,0.23,0.30,0.25,0.30,0.22,0.25,0.02,0.07,0.08,0.02,0.07,0.05,0.10,0.07
trumm001,"2,016.00",0.20,0.35,0.22,0.30,0.23,0.30,0.18,0.27,0.03,0.08,0.07,0.08,0.05,0.05,0.10,0.02
tulot001,"2,013.00",0.12,0.12,0.15,0.13,0.22,0.22,0.17,0.13,0.12,0.12,0.00,0.07,0.08,0.08,0.10,0.15
tulot001,"2,015.00",0.20,0.25,0.18,0.17,0.18,0.20,0.17,0.22,0.02,0.02,0.03,0.08,0.07,0.12,0.08,0.08
tulot001,"2,016.00",0.28,0.27,0.18,0.18,0.17,0.13,0.22,0.08,0.10,0.12,0.05,0.10,0.05,0.07,0.10,0.05
turnj001,"2,016.00",0.13,0.17,0.12,0.20,0.13,0.18,0.12,0.25,0.05,0.10,0.12,0.07,0.07,0.10,0.07,0.02
uggld001,"2,012.00",0.18,0.27,0.33,0.22,0.32,0.32,0.28,0.25,0.10,0.10,0.13,0.22,0.20,0.07,0.15,0.12
uggld001,"2,013.00",0.30,0.37,0.32,0.32,0.37,0.22,0.32,0.30,0.15,0.13,0.10,0.18,0.17,0.10,0.07,0.15
uptob001,"2,012.00",0.13,0.27,0.28,0.25,0.32,0.27,0.22,0.23,0.07,0.12,0.03,0.05,0.08,0.12,0.07,0.05
uptob001,"2,014.00",0.30,0.25,0.40,0.22,0.33,0.25,0.32,0.35,0.07,0.12,0.12,0.07,0.07,0.05,0.07,0.12
uptob001,"2,016.00",0.20,0.32,0.23,0.22,0.28,0.40,0.38,0.27,0.13,0.10,0.05,0.02,0.02,0.02,0.05,0.07
uptoj001,"2,012.00",0.22,0.27,0.17,0.25,0.20,0.20,0.13,0.20,0.13,0.03,0.15,0.08,0.05,0.10,0.13,0.08
uptoj001,"2,013.00",0.23,0.30,0.18,0.38,0.25,0.15,0.22,0.23,0.08,0.15,0.22,0.05,0.13,0.10,0.03,0.10
uptoj001,"2,014.00",0.27,0.32,0.28,0.28,0.25,0.23,0.15,0.27,0.12,0.10,0.08,0.08,0.05,0.12,0.07,0.13
uptoj001,"2,015.00",0.27,0.20,0.23,0.25,0.25,0.35,0.18,0.22,0.05,0.10,0.07,0.12,0.13,0.08,0.07,0.15
uptoj001,"2,016.00",0.37,0.30,0.40,0.23,0.25,0.27,0.22,0.25,0.03,0.02,0.10,0.08,0.08,0.05,0.05,0.05
utlec001,"2,013.00",0.12,0.13,0.15,0.15,0.20,0.18,0.12,0.13,0.07,0.08,0.10,0.10,0.02,0.05,0.15,0.03
utlec001,"2,014.00",0.10,0.08,0.15,0.20,0.07,0.12,0.12,0.15,0.08,0.02,0.03,0.05,0.05,0.08,0.05,0.13
utlec001,"2,016.00",0.13,0.17,0.20,0.28,0.13,0.18,0.17,0.27,0.07,0.17,0.10,0.05,0.05,0.05,0.05,0.03
valbl001,"2,014.00",0.18,0.28,0.12,0.25,0.20,0.20,0.22,0.20,0.20,0.08,0.15,0.05,0.03,0.12,0.08,0.10
valbl001,"2,015.00",0.17,0.20,0.27,0.20,0.22,0.17,0.22,0.23,0.08,0.05,0.07,0.07,0.15,0.10,0.10,0.13
valed001,"2,016.00",0.17,0.18,0.20,0.18,0.30,0.30,0.13,0.25,0.07,0.02,0.08,0.08,0.07,0.05,0.07,0.15
venaw001,"2,012.00",0.13,0.25,0.25,0.18,0.12,0.23,0.18,0.13,0.05,0.12,0.07,0.03,0.10,0.12,0.07,0.08
venaw001,"2,013.00",0.25,0.22,0.17,0.27,0.17,0.20,0.25,0.22,0.07,0.10,0.00,0.00,0.05,0.07,0.02,0.08
vicid001,"2,012.00",0.25,0.28,0.10,0.28,0.23,0.08,0.27,0.23,0.02,0.03,0.02,0.07,0.12,0.03,0.03,0.02
vicid001,"2,013.00",0.30,0.15,0.25,0.12,0.22,0.17,0.17,0.25,0.05,0.08,0.03,0.00,0.10,0.03,0.07,0.02
vicid001,"2,014.00",0.18,0.13,0.27,0.20,0.13,0.23,0.32,0.23,0.07,0.10,0.03,0.03,0.05,0.07,0.02,0.03
victs001,"2,012.00",0.12,0.12,0.13,0.07,0.08,0.12,0.12,0.10,0.08,0.03,0.10,0.12,0.08,0.07,0.05,0.07
victs001,"2,013.00",0.13,0.08,0.10,0.13,0.15,0.03,0.12,0.17,0.10,0.07,0.05,0.02,0.02,0.05,0.05,0.03
villj001,"2,016.00",0.25,0.23,0.23,0.22,0.28,0.33,0.22,0.17,0.15,0.12,0.12,0.15,0.03,0.10,0.10,0.15
vogts001,"2,015.00",0.13,0.15,0.15,0.32,0.20,0.10,0.20,0.18,0.07,0.13,0.17,0.13,0.05,0.05,0.05,0.08
vogts001,"2,016.00",0.18,0.17,0.17,0.12,0.05,0.15,0.25,0.12,0.05,0.03,0.02,0.08,0.07,0.03,0.07,0.07
vottj001,"2,012.00",0.23,0.20,0.12,0.12,0.20,0.17,0.10,0.20,0.15,0.17,0.18,0.13,0.07,0.10,0.18,0.22
vottj001,"2,013.00",0.17,0.27,0.17,0.15,0.20,0.15,0.20,0.25,0.30,0.07,0.10,0.10,0.12,0.10,0.13,0.13
vottj001,"2,015.00",0.12,0.22,0.22,0.15,0.17,0.13,0.22,0.10,0.15,0.08,0.12,0.08,0.17,0.22,0.13,0.25
vottj001,"2,016.00",0.17,0.30,0.28,0.27,0.18,0.17,0.17,0.13,0.08,0.08,0.20,0.05,0.22,0.18,0.20,0.17
walkn001,"2,012.00",0.10,0.15,0.27,0.23,0.27,0.17,0.23,0.13,0.07,0.10,0.02,0.10,0.10,0.13,0.12,0.07
walkn001,"2,013.00",0.13,0.20,0.20,0.17,0.15,0.10,0.12,0.10,0.07,0.13,0.10,0.07,0.08,0.07,0.08,0.05
walkn001,"2,014.00",0.12,0.10,0.13,0.13,0.22,0.17,0.07,0.15,0.05,0.08,0.03,0.07,0.03,0.10,0.08,0.10
walkn001,"2,015.00",0.17,0.13,0.18,0.22,0.22,0.20,0.18,0.10,0.05,0.07,0.05,0.02,0.15,0.03,0.03,0.07
weekj001,"2,012.00",0.15,0.13,0.12,0.13,0.10,0.12,0.10,0.18,0.08,0.08,0.13,0.08,0.13,0.08,0.05,0.10
weekr001,"2,012.00",0.30,0.22,0.38,0.27,0.22,0.28,0.23,0.23,0.12,0.18,0.08,0.17,0.13,0.05,0.07,0.12
wertj001,"2,013.00",0.20,0.20,0.25,0.25,0.15,0.12,0.17,0.18,0.02,0.08,0.08,0.15,0.12,0.13,0.13,0.03
wertj001,"2,014.00",0.20,0.18,0.13,0.15,0.10,0.23,0.23,0.20,0.13,0.08,0.07,0.08,0.08,0.15,0.12,0.08
wertj001,"2,016.00",0.27,0.25,0.15,0.22,0.20,0.18,0.25,0.20,0.12,0.03,0.07,0.13,0.15,0.25,0.07,0.10
wietm001,"2,012.00",0.18,0.17,0.20,0.18,0.10,0.17,0.23,0.20,0.12,0.08,0.10,0.05,0.12,0.08,0.05,0.10
wietm001,"2,013.00",0.18,0.22,0.15,0.10,0.18,0.20,0.18,0.15,0.08,0.07,0.07,0.03,0.08,0.08,0.08,0.05
willj004,"2,012.00",0.22,0.17,0.25,0.23,0.27,0.17,0.13,0.25,0.07,0.17,0.17,0.12,0.03,0.10,0.15,0.15
willj004,"2,013.00",0.27,0.27,0.27,0.25,0.23,0.28,0.30,0.25,0.18,0.20,0.07,0.10,0.07,0.17,0.13,0.15
wongk001,"2,015.00",0.12,0.12,0.23,0.12,0.12,0.20,0.15,0.12,0.07,0.03,0.10,0.05,0.07,0.03,0.02,0.07
wrigd002,"2,012.00",0.15,0.13,0.17,0.05,0.08,0.17,0.22,0.28,0.10,0.13,0.15,0.12,0.08,0.05,0.12,0.13
wrigd002,"2,013.00",0.17,0.12,0.18,0.23,0.17,0.15,0.13,0.10,0.15,0.17,0.12,0.03,0.08,0.08,0.10,0.03
wrigd002,"2,014.00",0.17,0.27,0.18,0.23,0.15,0.12,0.08,0.20,0.07,0.05,0.02,0.05,0.10,0.08,0.08,0.07
yelic001,"2,014.00",0.20,0.25,0.17,0.17,0.23,0.25,0.22,0.20,0.08,0.10,0.13,0.10,0.12,0.08,0.13,0.10
yelic001,"2,015.00",0.25,0.27,0.22,0.22,0.13,0.10,0.17,0.12,0.07,0.10,0.05,0.10,0.17,0.07,0.03,0.07
yelic001,"2,016.00",0.17,0.17,0.15,0.17,0.27,0.27,0.17,0.22,0.22,0.08,0.10,0.05,0.13,0.05,0.10,0.03
youkk001,"2,012.00",0.27,0.30,0.10,0.17,0.20,0.17,0.22,0.20,0.05,0.10,0.08,0.12,0.15,0.10,0.08,0.12
yound003,"2,012.00",0.22,0.23,0.10,0.20,0.20,0.12,0.12,0.08,0.03,0.07,0.02,0.00,0.02,0.02,0.12,0.02
youne003,"2,013.00",0.12,0.25,0.17,0.15,0.17,0.15,0.12,0.13,0.05,0.05,0.08,0.08,0.13,0.12,0.03,0.08
younm003,"2,012.00",0.10,0.15,0.12,0.15,0.07,0.08,0.05,0.12,0.03,0.05,0.03,0.03,0.05,0.05,0.02,0.05
younm003,"2,013.00",0.17,0.15,0.10,0.12,0.13,0.17,0.12,0.22,0.07,0.10,0.17,0.03,0.00,0.05,0.13,0.05
zimmr001,"2,012.00",0.13,0.20,0.15,0.17,0.18,0.13,0.15,0.22,0.13,0.12,0.00,0.03,0.05,0.08,0.10,0.10
zimmr001,"2,013.00",0.20,0.23,0.18,0.27,0.18,0.22,0.12,0.17,0.12,0.13,0.03,0.07,0.15,0.08,0.03,0.13
zimmr001,"2,016.00",0.18,0.20,0.18,0.18,0.37,0.08,0.28,0.25,0.10,0.03,0.12,0.05,0.05,0.03,0.05,0.02
zobrb001,"2,012.00",0.25,0.13,0.10,0.15,0.10,0.08,0.17,0.17,0.13,0.15,0.17,0.08,0.17,0.13,0.17,0.10
zobrb001,"2,013.00",0.12,0.18,0.12,0.17,0.07,0.17,0.17,0.17,0.15,0.03,0.15,0.10,0.12,0.08,0.07,0.10
zobrb001,"2,014.00",0.12,0.08,0.15,0.18,0.17,0.08,0.08,0.13,0.15,0.12,0.10,0.03,0.13,0.12,0.18,0.10
zobrb001,"2,015.00",0.05,0.10,0.07,0.13,0.10,0.08,0.13,0.05,0.07,0.12,0.17,0.10,0.08,0.18,0.10,0.08
zobrb001,"2,016.00",0.13,0.08,0.07,0.18,0.18,0.12,0.10,0.08,0.15,0.17,0.17,0.12,0.08,0.12,0.13,0.12
zunim001,"2,014.00",0.32,0.25,0.28,0.42,0.37,0.28,0.38,0.32,0.00,0.07,0.07,0.02,0.02,0.02,0.05,0.03
